房屋面积_平方米,成交价格_万元
81.2,234.3
144.58,386.96
120.52,332.67
105.85,264.82
57.16,169.61
57.16,178.26
46.39,168.14
135.28,360.42
106.12,283.18
117.89,317.19
42.26,149.39
146.69,401.66
131.57,350.98
63.36,196.09
60.0,181.46
60.17,194.97
73.47,203.14
97.72,269.39
87.51,242.9
72.04,188.14
107.3,302.7
55.34,172.28
72.14,210.42
80.3,227.23
90.17,234.19
126.37,339.61
61.96,179.77
96.57,259.38
105.17,290.49
45.11,148.83
106.83,325.37
58.76,179.51
47.16,151.75
144.38,389.83
146.22,366.77
128.92,351.91
73.51,214.67
50.74,193.81
115.27,315.28
88.42,255.57
53.42,163.04
94.47,248.64
43.78,156.6
140.03,391.34
68.47,213.03
112.88,298.55
74.29,236.76
97.21,251.99
100.14,289.15
60.33,213.69
146.65,381.78
125.26,334.67
143.34,389.86
138.43,368.53
105.77,271.16
141.41,384.54
49.73,138.4
61.56,191.0
44.98,128.65
75.79,242.71
82.75,225.14
69.85,199.79
131.16,370.11
79.24,209.64
70.9,210.67
99.7,298.85
55.5,144.64
128.24,353.37
48.2,154.4
148.56,413.12
124.95,323.81
61.86,164.84
40.61,139.35
129.7,358.71
117.75,328.14
120.19,335.67
124.84,331.9
48.14,153.85
79.43,232.97
52.75,151.15
134.94,395.34
108.56,308.51
76.4,203.13
46.99,157.33
74.21,200.9
75.77,231.23
120.26,348.02
110.13,293.02
137.59,388.43
91.94,266.05
53.16,175.22
118.46,354.59
123.69,335.54
101.74,273.05
124.81,328.67
94.32,253.56
97.5,272.6
87.03,252.69
42.8,141.14
51.87,172.08
